   1000.000      -3.883686       11.72093    
   1100.000      -2.540634       10.27219    
   1200.000      -1.683888       9.094141    
   1300.000      -1.115846       8.105280    
   1400.000     -0.7409161       7.270536    
   1500.000     -0.4825158       6.558800    
   1600.000     -0.3094403       5.946830    
   1700.000     -0.1973658       5.416941    
   1800.000     -0.1252194       4.955040    
   1900.000     -8.0611087E-02   4.549855    
   2000.000     -5.7835694E-02   4.192333    
   2100.000     -5.1210735E-02   3.875228    
   2200.000     -5.6610510E-02   3.592631    
   2300.000     -7.1005285E-02   3.339681    
   2400.000     -9.2151552E-02   3.112349    
   2500.000     -0.1183800       2.907274    
   2600.000     -0.1484500       2.721632    
   2700.000     -0.1814508       2.553031    
   2800.000     -0.2167409       2.399444    
   2900.000     -0.2754607       2.260164    
   3000.000     -0.3138266       2.133553    
   3100.000     -0.3512698       2.018443    
   3200.000     -0.3889650       1.912562    
   3300.000     -0.4267831       1.814933    
   3400.000     -0.4656484       1.724720    
   3500.000     -0.5036982       1.641255    
   3600.000     -0.5416844       1.563825    
   3700.000     -0.5796130       1.491854    
   3800.000     -0.6175030       1.424833    
   3900.000     -0.6553892       1.362312    
   4000.000     -0.6933190       1.303891    
   4100.000     -0.7313522       1.249214    
   4200.000     -0.7695590       1.197964    
   4300.000     -0.8080203       1.149855    
   4400.000     -0.8468267       1.104634    
   4500.000     -0.8860803       1.062070    
   4600.000     -0.9258945       1.021956    
   4700.000     -0.9663954      0.9841050    
   4800.000      -1.007724      0.9483480    
   4900.000      -1.050038      0.9145314    
   5000.000      -1.093515      0.8825152    
   5100.000      -1.138356      0.8521724    
   5200.000      -1.184791      0.8233867    
   5300.000      -1.233086      0.7960520    
   5400.000      -1.283549      0.7700714    
   5500.000      -1.336541      0.7453558    
   5600.000      -1.392493      0.7218233    
   5700.000      -1.451924      0.6993986    
   5800.000      -1.515466      0.6780124    
   5900.000      -1.583903      0.6576009    
   6000.000      -1.658225      0.6381052    
   6100.000      -1.739707      0.6194704    
   6200.000      -1.830029      0.6016462    
   6300.000      -1.931474      0.5845856    
   6400.000      -2.047246      0.5682452    
   6500.000      -2.182048      0.5525846    
   6600.000      -2.343179      0.5375661    
   6700.000      -2.542853      0.5231548    
   6800.000      -2.803862      0.5093179    
   6900.000      -3.176651      0.4960252    
   7000.000      -3.815184      0.4832481    
   7015.000      -3.962510      0.4813744    
   7020.000      -4.017018      0.4807522    
   7025.000      -4.074730      0.4801312    
   7030.000      -4.136031      0.4795114    
   7035.000      -4.201370      0.4788930    
